Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
2211315,45.75,8.6,0.75,0.58,0.72,0.99,Medium
2211324,48.47,8.26,0.64,0.61,0.77,1.06,Low
2211333,51.21,8.58,0.7,0.65,0.82,1.13,Low
2211342,54.58,8.49,0.65,0.69,0.89,1.21,Rollish
2211351,57.6,9.04,0.77,0.73,0.95,1.29,Low
2211360,61.2,9,0.73,0.77,1.02,1.38,Rollish
2211405,47.28,8.78,0.78,0.60,0.75,1.03,Medium
2211414,49.33,8.66,0.74,0.62,0.79,1.08,Low
2211423,51.64,8.84,0.76,0.65,0.83,1.14,Low
2211432,54.8,8.59,0.67,0.69,0.90,1.22,Rollish
2211441,57.68,9.05,0.77,0.73,0.95,1.29,Low
2211450,61.16,9,0.73,0.77,1.02,1.38,Rollish
2211504,50.83,9.05,0.83,0.64,0.82,1.12,Medium
2211513,52.72,9.16,0.84,0.66,0.85,1.17,Low
2211522,55.37,8.88,0.75,0.70,0.91,1.23,Low
2211531,58.02,9.18,0.81,0.73,0.96,1.30,Low
2211540,61.35,9.06,0.75,0.78,1.03,1.38,Rollish
2211603,54.43,9.32,0.87,0.69,0.89,1.21,Low
2211612,56.49,9.29,0.85,0.71,0.93,1.26,Low
2211621,58.75,9.47,0.88,0.74,0.98,1.32,Low
2211630,61.81,9.21,0.78,0.78,1.04,1.40,Rollish
2211702,58.12,9.65,0.94,0.73,0.96,1.30,Low
2211711,60.06,9.75,0.95,0.76,1.00,1.35,Low
2211720,62.61,9.53,0.87,0.79,1.05,1.42,Low
2211801,61.84,9.91,0.98,0.78,1.04,1.40,Low
2211810,63.88,9.94,0.98,0.81,1.08,1.45,Low
2211900,65.59,10.24,1.05,0.83,1.11,1.49,Low
2212008,38.81,8.68,0.82,0.49,0.58,0.82,Medium
2212017,40.69,8.55,0.78,0.51,0.61,0.87,Medium
2212026,43.33,8.34,0.7,0.54,0.67,0.93,Medium
2212035,46.28,8.39,0.69,0.58,0.73,1.01,Low
2212044,49.47,8.58,0.71,0.62,0.79,1.09,Low
2212053,52.69,8.84,0.76,0.66,0.85,1.17,Low
2212062,56.11,9.09,0.8,0.71,0.92,1.25,Low
2212071,59.5,9.34,0.84,0.75,0.99,1.34,Low
2212080,63.01,9.6,0.88,0.80,1.06,1.43,Low
2212107,41.27,8.8,0.84,0.52,0.63,0.88,Medium
2212116,43.13,8.48,0.74,0.54,0.66,0.93,Medium
2212125,45.49,8.56,0.74,0.57,0.71,0.99,Medium
2212134,48.66,8.31,0.65,0.61,0.77,1.07,Low
2212143,51.6,8.74,0.74,0.65,0.83,1.14,Low
