Position,EPC,σ(PC),V(R),R-L,L-M,M-H,Description
000000F,0,0,0,-0.01,-0.20,-0.15,Won
000001E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000002D,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000003C,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000004B,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000005A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000069,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000078,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000087,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000096,36,6.7,0.39,0.45,0.52,0.75,Rollish
00000A5,36,6.7,0.39,0.45,0.52,0.75,Rollish
00000B4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00000C3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00000D2,50,8,0.56,0.63,0.80,1.10,Rollish
00000E1,50,8,0.56,0.63,0.80,1.10,Rollish
00000F0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000010E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000011D,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000012C,14.97,4.14,0.14,0.18,0.10,0.22,Rollish
000013B,15.2,4,0.12,0.18,0.10,0.23,Rollish
000014A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000159,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000168,29,5.96,0.3,0.36,0.38,0.58,Rollish
0000177,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000186,36,6.7,0.39,0.45,0.52,0.75,Rollish
0000195,36,6.7,0.39,0.45,0.52,0.75,Rollish
00001A4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00001B3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00001C2,50,8,0.56,0.63,0.80,1.10,Rollish
00001D1,50,8,0.56,0.63,0.80,1.10,Rollish
00001E0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000020D,10.44,4.34,0.2,0.12,0.01,0.11,High
000021C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000022B,15.2,4,0.12,0.18,0.10,0.23,Rollish
000023A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0000249,22.13,5.04,0.21,0.27,0.24,0.40,Rollish
0000258,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000267,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000276,36,6.7,0.39,0.45,0.52,0.75,Rollish
0000285,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0000294,43,7.38,0.48,0.54,0.66,0.93,Rollish
00002A3,43,7.38,0.48,0.54,0.66,0.93,Rollish
00002B2,50,8,0.56,0.63,0.80,1.10,Rollish
00002C1,50,8,0.56,0.63,0.80,1.10,Rollish
00002D0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000030C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000031B,15.83,4.74,0.21,0.19,0.12,0.25,Medium
000032A,22.13,5.04,0.21,0.27,0.24,0.40,Rollish
0000339,22.39,4.96,0.19,0.28,0.25,0.41,Rollish
0000348,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0000357,29.06,5.95,0.3,0.36,0.38,0.58,Rollish
0000366,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0000375,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0000384,43,7.38,0.48,0.54,0.66,0.93,Rollish
0000393,43,7.38,0.48,0.54,0.66,0.93,Rollish
00003A2,50,8,0.56,0.63,0.80,1.10,Rollish
00003B1,50,8,0.56,0.63,0.80,1.10,Rollish
00003C0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000040B,18.48,6.42,0.47,0.22,0.17,0.31,High
000041A,22.39,4.96,0.19,0.28,0.25,0.41,Rollish
0000429,22.56,5.18,0.22,0.28,0.25,0.41,Rollish
0000438,29.06,5.95,0.3,0.36,0.38,0.58,Rollish
0000447,29.27,5.93,0.3,0.36,0.39,0.58,Rollish
0000456,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0000465,36.04,6.69,0.39,0.45,0.52,0.75,Rollish
0000474,43,7.38,0.48,0.54,0.66,0.93,Rollish
0000483,43.01,7.37,0.47,0.54,0.66,0.93,Rollish
0000492,50,8,0.56,0.63,0.80,1.10,Rollish
00004A1,50,8,0.56,0.63,0.80,1.10,Rollish
00004B0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000050A,22.56,5.18,0.22,0.28,0.25,0.41,Rollish
0000519,23.67,6.28,0.4,0.29,0.27,0.44,Medium
0000528,29.27,5.93,0.3,0.36,0.39,0.58,Rollish
0000537,29.61,5.88,0.28,0.37,0.39,0.59,Rollish
0000546,36.04,6.69,0.39,0.45,0.52,0.75,Rollish
0000555,36.16,6.71,0.39,0.45,0.52,0.75,Rollish
0000564,43.01,7.37,0.47,0.54,0.66,0.93,Rollish
0000573,43.04,7.35,0.47,0.54,0.66,0.93,Rollish
0000582,50,8,0.56,0.63,0.80,1.10,Rollish
0000591,50.01,7.99,0.56,0.63,0.80,1.10,Rollish
00005A0,57,8.57,0.65,0.72,0.94,1.28,Rollish
0000609,26.61,7.14,0.55,0.33,0.33,0.52,High
0000618,29.61,5.88,0.28,0.37,0.39,0.59,Rollish
0000627,30.01,6.36,0.37,0.37,0.40,0.60,Rollish
0000636,36.16,6.71,0.39,0.45,0.52,0.75,Rollish
0000645,36.47,6.69,0.38,0.46,0.53,0.76,Rollish
0000654,43.04,7.35,0.47,0.54,0.66,0.93,Rollish
0000663,43.09,7.37,0.47,0.54,0.66,0.93,Rollish
0000672,50.01,7.99,0.56,0.63,0.80,1.10,Rollish
0000681,50.03,7.98,0.56,0.63,0.80,1.10,Rollish
0000690,57,8.57,0.65,0.72,0.94,1.28,Rollish
0000708,30.01,6.36,0.37,0.37,0.40,0.60,Rollish
0000717,31.56,7.45,0.58,0.39,0.43,0.64,Medium
0000726,36.47,6.69,0.38,0.46,0.53,0.76,Rollish
0000735,36.88,6.75,0.39,0.46,0.54,0.77,Rollish
0000744,43.09,7.37,0.47,0.54,0.66,0.93,Rollish
0000753,43.29,7.4,0.48,0.54,0.67,0.93,Rollish
0000762,50.03,7.98,0.56,0.63,0.80,1.10,Rollish
0000771,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0000780,57.01,8.57,0.65,0.72,0.94,1.28,Rollish
0000807,34.48,7.81,0.64,0.43,0.49,0.71,Medium
0000816,36.88,6.75,0.39,0.46,0.54,0.77,Rollish
0000825,37.58,7.42,0.53,0.47,0.55,0.79,Low
0000834,43.29,7.4,0.48,0.54,0.67,0.93,Rollish
0000843,43.69,7.41,0.48,0.55,0.67,0.94,Rollish
0000852,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0000861,50.18,8,0.56,0.63,0.80,1.10,Rollish
0000870,57.02,8.56,0.65,0.72,0.94,1.28,Rollish
0000906,37.58,7.42,0.53,0.47,0.55,0.79,Low
0000915,39.44,8.37,0.74,0.49,0.59,0.84,Medium
0000924,43.69,7.41,0.48,0.55,0.67,0.94,Rollish
0000933,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0000942,50.18,8,0.56,0.63,0.80,1.10,Rollish
0000951,50.47,8.04,0.57,0.64,0.81,1.11,Rollish
0000960,57.06,8.55,0.64,0.72,0.94,1.28,Rollish
0000A05,42.22,8.34,0.71,0.53,0.64,0.91,Medium
0000A14,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0000A23,45.21,8.37,0.69,0.57,0.70,0.98,Low
0000A32,50.47,8.04,0.57,0.64,0.81,1.11,Rollish
0000A41,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0000A50,57.13,8.55,0.65,0.72,0.94,1.28,Rollish
0000B04,45.21,8.37,0.69,0.57,0.70,0.98,Low
0000B13,47.29,9.1,0.87,0.60,0.75,1.03,Medium
0000B22,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0000B31,51.65,8.43,0.66,0.65,0.83,1.14,Low
0000B40,57.31,8.6,0.66,0.72,0.95,1.28,Rollish
0000C03,49.87,8.87,0.79,0.63,0.80,1.10,Low
0000C12,51.65,8.43,0.66,0.65,0.83,1.14,Low
0000C21,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0000C30,57.69,8.66,0.67,0.73,0.95,1.29,Rollish
0000D02,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0000D11,55.08,9.72,0.98,0.70,0.90,1.23,Medium
0000D20,58.28,8.78,0.7,0.74,0.97,1.31,Rollish
0000E01,57.47,9.39,0.87,0.73,0.95,1.29,Low
0000E10,59.13,9.22,0.81,0.75,0.98,1.33,Low
0000F00,60.6,9.96,1.01,0.77,1.01,1.37,Low
000100E,8.17,2.07,0,0.09,-0.04,0.05,Rollish
000101D,8.62,2.83,0.05,0.10,-0.03,0.07,Rollish
000102C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000103B,15.8,4.31,0.15,0.19,0.12,0.25,Rollish
000104A,22,5.07,0.21,0.27,0.24,0.40,Rollish
0001059,22.6,5.38,0.26,0.28,0.25,0.42,Rollish
0001068,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0001077,29.61,6.2,0.34,0.37,0.39,0.59,Rollish
0001086,36,6.7,0.39,0.45,0.52,0.75,Rollish
0001095,36.6,6.93,0.43,0.46,0.53,0.77,Rollish
00010A4,43,7.38,0.48,0.54,0.66,0.93,Rollish
00010B3,43.6,7.58,0.52,0.55,0.67,0.94,Rollish
00010C2,50,8,0.56,0.63,0.80,1.10,Rollish
00010D1,50.6,8.19,0.61,0.64,0.81,1.12,Rollish
00010E0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000110D,10.66,4.45,0.21,0.12,0.01,0.12,High
000111C,15.2,4,0.12,0.18,0.10,0.23,Rollish
000112B,15.45,3.87,0.1,0.19,0.11,0.24,Rollish
000113A,22.03,5.07,0.21,0.27,0.24,0.40,Rollish
0001149,22.36,5,0.2,0.27,0.25,0.41,Rollish
0001158,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0001167,29.24,5.9,0.29,0.36,0.38,0.58,Rollish
0001176,36,6.7,0.39,0.45,0.52,0.75,Rollish
0001185,36.24,6.66,0.38,0.45,0.52,0.76,Rollish
0001194,43,7.38,0.48,0.54,0.66,0.93,Rollish
00011A3,43.23,7.34,0.47,0.54,0.66,0.93,Rollish
00011B2,50,8,0.56,0.63,0.80,1.10,Rollish
00011C1,50.23,7.97,0.56,0.63,0.80,1.11,Rollish
00011D0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000120C,15.22,4.03,0.12,0.18,0.10,0.23,Rollish
000121B,16.08,4.6,0.19,0.19,0.12,0.25,Rollish
000122A,22.14,5.04,0.21,0.27,0.24,0.40,Rollish
0001239,22.59,4.88,0.18,0.28,0.25,0.41,Rollish
0001248,29.01,5.95,0.3,0.36,0.38,0.58,Rollish
0001257,29.27,5.87,0.29,0.36,0.39,0.58,Rollish
0001266,36.01,6.7,0.39,0.45,0.52,0.75,Rollish
0001275,36.23,6.63,0.37,0.45,0.52,0.76,Rollish
0001284,43,7.38,0.48,0.54,0.66,0.93,Rollish
0001293,43.22,7.32,0.46,0.54,0.66,0.93,Rollish
00012A2,50,8,0.56,0.63,0.80,1.10,Rollish
00012B1,50.21,7.95,0.55,0.63,0.80,1.11,Rollish
00012C0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000130B,18.71,6.2,0.43,0.23,0.17,0.32,High
000131A,22.39,4.96,0.19,0.28,0.25,0.41,Rollish
0001329,22.77,5.1,0.21,0.28,0.26,0.42,Rollish
0001338,29.07,5.94,0.3,0.36,0.38,0.58,Rollish
0001347,29.49,5.85,0.28,0.37,0.39,0.59,Rollish
0001356,36.02,6.69,0.39,0.45,0.52,0.75,Rollish
0001365,36.25,6.63,0.37,0.45,0.53,0.76,Rollish
0001374,43,7.38,0.48,0.54,0.66,0.93,Rollish
0001383,43.23,7.31,0.46,0.54,0.66,0.93,Rollish
0001392,50,8,0.56,0.63,0.80,1.10,Rollish
00013A1,50.21,7.95,0.55,0.63,0.80,1.11,Rollish
00013B0,57,8.57,0.65,0.72,0.94,1.28,Rollish
000140A,22.58,5.17,0.22,0.28,0.25,0.41,Rollish
0001419,23.7,6.27,0.4,0.29,0.27,0.44,Medium
0001428,29.29,5.92,0.29,0.36,0.39,0.58,Rollish
0001437,29.63,5.87,0.28,0.37,0.39,0.59,Rollish
0001446,36.04,6.69,0.39,0.45,0.52,0.75,Rollish
0001455,36.18,6.7,0.39,0.45,0.52,0.75,Rollish
0001464,43.02,7.37,0.47,0.54,0.66,0.93,Rollish
0001473,43.07,7.35,0.47,0.54,0.66,0.93,Rollish
0001482,50,8,0.56,0.63,0.80,1.10,Rollish
0001491,50.04,7.98,0.56,0.63,0.80,1.10,Rollish
00014A0,57,8.57,0.65,0.72,0.94,1.28,Rollish
0001509,26.63,7.13,0.55,0.33,0.33,0.52,High
0001518,29.61,5.88,0.28,0.37,0.39,0.59,Rollish
0001527,30.02,6.35,0.37,0.37,0.40,0.60,Rollish
0001536,36.16,6.7,0.39,0.45,0.52,0.75,Rollish
0001545,36.47,6.68,0.38,0.46,0.53,0.76,Rollish
0001554,43.04,7.35,0.47,0.54,0.66,0.93,Rollish
0001563,43.1,7.36,0.47,0.54,0.66,0.93,Rollish
0001572,50.01,7.99,0.56,0.63,0.80,1.10,Rollish
0001581,50.04,7.97,0.56,0.63,0.80,1.10,Rollish
0001590,57,8.57,0.65,0.72,0.94,1.28,Rollish
0001608,30.02,6.36,0.37,0.37,0.40,0.60,Rollish
0001617,31.57,7.44,0.58,0.39,0.43,0.64,Medium
0001626,36.47,6.69,0.38,0.46,0.53,0.76,Rollish
0001635,36.89,6.75,0.39,0.46,0.54,0.77,Rollish
0001644,43.09,7.37,0.47,0.54,0.66,0.93,Rollish
0001653,43.3,7.39,0.48,0.54,0.67,0.93,Rollish
0001662,50.03,7.98,0.56,0.63,0.80,1.10,Rollish
0001671,50.08,7.96,0.56,0.63,0.80,1.10,Rollish
0001680,57.01,8.57,0.65,0.72,0.94,1.28,Rollish
0001707,34.49,7.8,0.64,0.43,0.49,0.71,Medium
0001716,36.88,6.75,0.39,0.46,0.54,0.77,Rollish
0001725,37.58,7.41,0.53,0.47,0.55,0.79,Low
0001734,43.3,7.4,0.48,0.54,0.67,0.93,Rollish
0001743,43.7,7.4,0.48,0.55,0.67,0.94,Rollish
0001752,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0001761,50.19,8,0.56,0.63,0.80,1.10,Rollish
0001770,57.02,8.56,0.65,0.72,0.94,1.28,Rollish
0001806,37.58,7.42,0.53,0.47,0.55,0.79,Low
0001815,39.45,8.36,0.74,0.49,0.59,0.84,Medium
0001824,43.7,7.41,0.48,0.55,0.67,0.94,Rollish
0001833,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0001842,50.18,8,0.56,0.63,0.80,1.10,Rollish
0001851,50.48,8.04,0.57,0.64,0.81,1.11,Rollish
0001860,57.06,8.55,0.64,0.72,0.94,1.28,Rollish
0001905,42.22,8.34,0.71,0.53,0.64,0.91,Medium
0001914,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0001923,45.21,8.37,0.69,0.57,0.70,0.98,Low
0001932,50.47,8.04,0.57,0.64,0.81,1.11,Rollish
0001941,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0001950,57.13,8.55,0.65,0.72,0.94,1.28,Rollish
0001A04,45.21,8.37,0.69,0.57,0.70,0.98,Low
0001A13,47.29,9.1,0.87,0.60,0.75,1.03,Medium
0001A22,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0001A31,51.65,8.43,0.66,0.65,0.83,1.14,Low
0001A40,57.31,8.6,0.66,0.72,0.95,1.28,Rollish
0001B03,49.87,8.87,0.79,0.63,0.80,1.10,Low
0001B12,51.65,8.43,0.66,0.65,0.83,1.14,Low
0001B21,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0001B30,57.69,8.66,0.67,0.73,0.95,1.29,Rollish
0001C02,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0001C11,55.08,9.72,0.98,0.70,0.90,1.23,Medium
0001C20,58.28,8.78,0.7,0.74,0.97,1.31,Rollish
0001D01,57.47,9.39,0.87,0.73,0.95,1.29,Low
0001D10,59.13,9.22,0.81,0.75,0.98,1.33,Low
0001E00,60.6,9.96,1.01,0.77,1.01,1.37,Low
000200D,12.48,4.82,0.25,0.15,0.05,0.16,High
000201C,15.45,3.87,0.1,0.19,0.11,0.24,Rollish
000202B,17.44,5.64,0.34,0.21,0.15,0.29,High
000203A,22.36,5,0.2,0.27,0.25,0.41,Rollish
0002049,24.45,6.35,0.41,0.30,0.29,0.46,Medium
0002058,29.24,5.9,0.29,0.36,0.38,0.58,Rollish
0002067,31.34,7.14,0.52,0.39,0.43,0.63,Medium
0002076,36.24,6.66,0.38,0.45,0.52,0.76,Rollish
0002085,38.34,7.77,0.6,0.48,0.57,0.81,Medium
0002094,43.23,7.34,0.47,0.54,0.66,0.93,Rollish
00020A3,45.34,8.37,0.69,0.57,0.71,0.98,Low
00020B2,50.23,7.97,0.56,0.63,0.80,1.11,Rollish
00020C1,52.34,8.92,0.78,0.66,0.85,1.16,Low
00020D0,57.23,8.54,0.64,0.72,0.94,1.28,Rollish
000210C,15.68,4.16,0.14,0.19,0.11,0.24,Rollish
000211B,16.39,4.89,0.23,0.20,0.13,0.26,Medium
000212A,22.44,4.94,0.19,0.28,0.25,0.41,Rollish
0002139,22.89,5.09,0.21,0.28,0.26,0.42,Rollish
0002148,29.24,5.88,0.29,0.36,0.38,0.58,Rollish
0002157,29.58,6.07,0.32,0.37,0.39,0.59,Rollish
0002166,36.22,6.64,0.37,0.45,0.52,0.76,Rollish
0002175,36.54,6.8,0.4,0.46,0.53,0.76,Rollish
0002184,43.21,7.33,0.46,0.54,0.66,0.93,Rollish
0002193,43.53,7.48,0.5,0.55,0.67,0.94,Rollish
00021A2,50.21,7.95,0.55,0.63,0.80,1.11,Rollish
00021B1,50.52,8.09,0.58,0.64,0.81,1.11,Rollish
00021C0,57.21,8.53,0.64,0.72,0.94,1.28,Rollish
000220B,18.81,6.23,0.43,0.23,0.18,0.32,High
000221A,22.61,4.91,0.18,0.28,0.25,0.42,Rollish
0002229,22.91,5.1,0.21,0.28,0.26,0.42,Rollish
0002238,29.29,5.87,0.29,0.36,0.39,0.58,Rollish
0002247,29.6,5.86,0.28,0.37,0.39,0.59,Rollish
0002256,36.23,6.63,0.37,0.45,0.52,0.76,Rollish
0002265,36.37,6.63,0.37,0.45,0.53,0.76,Rollish
0002274,43.22,7.32,0.46,0.54,0.66,0.93,Rollish
0002283,43.35,7.32,0.46,0.54,0.67,0.93,Rollish
0002292,50.21,7.95,0.55,0.63,0.80,1.11,Rollish
00022A1,50.33,7.95,0.55,0.63,0.81,1.11,Rollish
00022B0,57.21,8.53,0.64,0.72,0.94,1.28,Rollish
000230A,22.68,5.19,0.22,0.28,0.25,0.42,Rollish
0002319,24,6.14,0.38,0.30,0.28,0.45,Medium
0002328,29.32,5.91,0.29,0.36,0.39,0.58,Rollish
0002337,29.91,5.8,0.27,0.37,0.40,0.60,Rollish
0002346,36.07,6.68,0.38,0.45,0.52,0.75,Rollish
0002355,36.47,6.63,0.37,0.46,0.53,0.76,Rollish
0002364,43.05,7.36,0.47,0.54,0.66,0.93,Rollish
0002373,43.35,7.29,0.45,0.54,0.67,0.93,Rollish
0002382,50.03,7.99,0.56,0.63,0.80,1.10,Rollish
0002391,50.33,7.93,0.55,0.63,0.81,1.11,Rollish
00023A0,57.03,8.56,0.65,0.72,0.94,1.28,Rollish
0002409,26.74,7.06,0.54,0.33,0.33,0.52,High
0002418,29.63,5.88,0.28,0.37,0.39,0.59,Rollish
0002427,30.15,6.33,0.36,0.37,0.40,0.60,Rollish
0002436,36.18,6.68,0.38,0.45,0.52,0.75,Rollish
0002445,36.6,6.66,0.38,0.46,0.53,0.77,Rollish
0002454,43.05,7.35,0.47,0.54,0.66,0.93,Rollish
0002463,43.23,7.35,0.47,0.54,0.66,0.93,Rollish
0002472,50.02,7.98,0.56,0.63,0.80,1.10,Rollish
0002481,50.17,7.96,0.55,0.63,0.80,1.10,Rollish
0002490,57.01,8.57,0.65,0.72,0.94,1.28,Rollish
0002508,30.06,6.35,0.37,0.37,0.40,0.60,Rollish
0002517,31.61,7.43,0.58,0.39,0.43,0.64,Medium
0002526,36.48,6.67,0.38,0.46,0.53,0.76,Rollish
0002535,36.91,6.74,0.39,0.46,0.54,0.77,Rollish
0002544,43.1,7.36,0.47,0.54,0.66,0.93,Rollish
0002553,43.33,7.39,0.48,0.54,0.67,0.93,Rollish
0002562,50.04,7.97,0.56,0.63,0.80,1.10,Rollish
0002571,50.1,7.96,0.55,0.63,0.80,1.10,Rollish
0002580,57.01,8.56,0.65,0.72,0.94,1.28,Rollish
0002607,34.5,7.79,0.64,0.43,0.49,0.71,Medium
0002616,36.89,6.75,0.39,0.46,0.54,0.77,Rollish
0002625,37.59,7.4,0.53,0.47,0.55,0.79,Low
0002634,43.3,7.39,0.48,0.54,0.67,0.93,Rollish
0002643,43.71,7.4,0.48,0.55,0.67,0.94,Rollish
0002652,50.08,7.96,0.56,0.63,0.80,1.10,Rollish
0002661,50.2,7.99,0.56,0.63,0.80,1.11,Rollish
0002670,57.03,8.55,0.65,0.72,0.94,1.28,Rollish
0002706,37.59,7.41,0.53,0.47,0.55,0.79,Low
0002715,39.46,8.35,0.73,0.49,0.59,0.84,Medium
0002724,43.7,7.41,0.48,0.55,0.67,0.94,Rollish
0002733,44.24,7.59,0.51,0.56,0.68,0.96,Rollish
0002742,50.18,8,0.56,0.63,0.80,1.10,Rollish
0002751,50.49,8.03,0.57,0.64,0.81,1.11,Rollish
0002760,57.06,8.54,0.64,0.72,0.94,1.28,Rollish
0002805,42.23,8.34,0.71,0.53,0.64,0.91,Medium
0002814,44.23,7.6,0.52,0.56,0.68,0.96,Rollish
0002823,45.22,8.37,0.69,0.57,0.70,0.98,Low
0002832,50.48,8.04,0.57,0.64,0.81,1.11,Rollish
0002841,50.97,8.09,0.58,0.64,0.82,1.12,Rollish
0002850,57.13,8.55,0.65,0.72,0.94,1.28,Rollish
0002904,45.21,8.37,0.69,0.57,0.70,0.98,Low
0002913,47.29,9.1,0.87,0.60,0.75,1.03,Medium
0002922,50.97,8.1,0.58,0.64,0.82,1.12,Rollish
0002931,51.65,8.43,0.66,0.65,0.83,1.14,Low
0002940,57.31,8.6,0.66,0.72,0.95,1.28,Rollish
0002A03,49.87,8.87,0.78,0.63,0.80,1.10,Low
0002A12,51.65,8.43,0.66,0.65,0.83,1.14,Low
0002A21,52.9,9.21,0.86,0.67,0.86,1.17,Medium
0002A30,57.69,8.66,0.67,0.73,0.95,1.29,Rollish
0002B02,52.89,9.21,0.86,0.67,0.86,1.17,Medium
0002B11,55.08,9.72,0.98,0.70,0.90,1.23,Medium
0002B20,58.28,8.78,0.7,0.74,0.97,1.31,Rollish
0002C01,57.47,9.39,0.87,0.73,0.95,1.29,Low
0002C10,59.13,9.22,0.81,0.75,0.98,1.33,Low
0002D00,60.6,9.96,1.01,0.77,1.01,1.37,Low
000300C,16.39,4.89,0.23,0.20,0.13,0.26,Medium
000301B,18.81,6.23,0.43,0.23,0.18,0.32,High
000302A,22.89,5.09,0.21,0.28,0.26,0.42,Rollish
0003039,25.4,6.59,0.45,0.31,0.31,0.49,Medium
0003048,29.58,6.07,0.32,0.37,0.39,0.59,Rollish
0003057,32.19,7.41,0.57,0.40,0.44,0.65,Medium
0003066,36.54,6.8,0.4,0.46,0.53,0.76,Rollish
0003075,39.16,8.03,0.66,0.49,0.58,0.83,Medium
0003084,43.53,7.48,0.5,0.55,0.67,0.94,Rollish
0003093,46.16,8.61,0.75,0.58,0.72,1.00,Medium
00030A2,50.52,8.09,0.58,0.64,0.81,1.11,Rollish
00030B1,53.15,9.15,0.84,0.67,0.86,1.18,Low
00030C0,57.52,8.66,0.67,0.73,0.95,1.29,Rollish
000310B,19.59,6.44,0.47,0.24,0.19,0.34,High
000311A,22.82,4.99,0.19,0.28,0.26,0.42,Rollish
0003129,23.85,5.87,0.33,0.29,0.28,0.45,Medium
0003138,29.53,5.87,0.28,0.37,0.39,0.59,Rollish
0003147,30.57,6.55,0.4,0.38,0.41,0.61,Low
0003156,36.36,6.63,0.37,0.45,0.53,0.76,Rollish
0003165,37.35,7.28,0.5,0.47,0.55,0.78,Low
0003174,43.34,7.32,0.46,0.54,0.67,0.93,Rollish
0003183,44.33,7.9,0.59,0.56,0.69,0.96,Low
0003192,50.33,7.95,0.55,0.63,0.81,1.11,Rollish
00031A1,51.32,8.49,0.68,0.65,0.83,1.13,Low
00031B0,57.33,8.53,0.64,0.72,0.95,1.28,Rollish
000320A,23.2,5.4,0.25,0.29,0.26,0.43,Rollish
0003219,24.31,6.26,0.4,0.30,0.29,0.46,Medium
0003228,29.64,5.85,0.28,0.37,0.39,0.59,Rollish
0003237,30.15,5.9,0.28,0.37,0.40,0.60,Rollish
0003246,36.38,6.62,0.37,0.45,0.53,0.76,Rollish
0003255,36.72,6.72,0.39,0.46,0.53,0.77,Rollish
0003264,43.33,7.3,0.46,0.54,0.67,0.93,Rollish
0003273,43.6,7.38,0.47,0.55,0.67,0.94,Rollish
0003282,50.32,7.94,0.55,0.63,0.81,1.11,Rollish
0003291,50.57,8.01,0.56,0.64,0.81,1.11,Rollish
00032A0,57.32,8.52,0.63,0.72,0.95,1.28,Rollish
0003309,26.99,7,0.52,0.33,0.34,0.52,Medium
0003318,29.79,5.9,0.29,0.37,0.40,0.59,Rollish
0003327,30.49,6.26,0.35,0.38,0.41,0.61,Rollish
0003336,36.33,6.66,0.38,0.45,0.53,0.76,Rollish
0003345,36.92,6.6,0.36,0.46,0.54,0.77,Rollish
0003354,43.18,7.33,0.47,0.54,0.66,0.93,Rollish
0003363,43.55,7.3,0.46,0.55,0.67,0.94,Rollish
0003372,50.15,7.97,0.56,0.63,0.80,1.10,Rollish
0003381,50.49,7.92,0.54,0.64,0.81,1.11,Rollish
0003390,57.14,8.55,0.65,0.72,0.94,1.28,Rollish
0003408,30.21,6.36,0.37,0.38,0.40,0.61,Rollish
0003417,31.8,7.38,0.57,0.40,0.44,0.65,Medium
0003426,36.53,6.66,0.38,0.46,0.53,0.76,Rollish
0003435,37.11,6.72,0.38,0.46,0.54,0.78,Rollish
0003444,43.14,7.35,0.47,0.54,0.66,0.93,Rollish
0003453,43.52,7.37,0.47,0.55,0.67,0.94,Rollish
0003462,50.07,7.97,0.56,0.63,0.80,1.10,Rollish
0003471,50.3,7.95,0.55,0.63,0.81,1.11,Rollish
0003480,57.04,8.56,0.65,0.72,0.94,1.28,Rollish
0003507,34.57,7.76,0.63,0.43,0.49,0.71,Medium
0003516,36.93,6.75,0.39,0.46,0.54,0.77,Rollish
0003525,37.67,7.4,0.52,0.47,0.55,0.79,Low
0003534,43.33,7.37,0.47,0.54,0.67,0.93,Rollish
0003543,43.79,7.39,0.47,0.55,0.68,0.94,Rollish
0003552,50.09,7.96,0.55,0.63,0.80,1.10,Rollish
0003561,50.27,7.99,0.56,0.63,0.81,1.11,Rollish
0003570,57.04,8.55,0.65,0.72,0.94,1.28,Rollish
0003606,37.63,7.4,0.53,0.47,0.55,0.79,Low
0003615,39.49,8.34,0.73,0.49,0.59,0.84,Medium
0003624,43.72,7.39,0.47,0.55,0.67,0.94,Rollish
0003633,44.27,7.59,0.51,0.56,0.69,0.96,Rollish
0003642,50.2,7.99,0.56,0.63,0.80,1.11,Rollish
0003651,50.51,8.03,0.57,0.64,0.81,1.11,Rollish
