ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
1740012,67.15,11.88,pippish,low checkers,65.5,66.4
1740102,68.07,12.11,pippish,low checkers,66.5,66.4
1741002,68.78,12.31,pippish,low checkers,67.0,66.9
1750002,69.93,12.37,pippish,low checkers,68.0,68.6
1800042,66.18,11.17,almost pippish,MCG,66.1,65.6
1800132,65.83,11.16,almost pippish,MCG,65.3,64.4
1800222,65.77,11.21,almost pippish,MCG,65.1,64.4
1800312,66.16,11.29,almost pippish,MCG,65.8,64.4
1800402,67.1,11.39,almost pippish,MCG,67.1,65.6
1801032,66.12,11.35,almost pippish,MCG,66.1,64.9
1801122,65.69,11.36,almost pippish,MCG,65.3,63.7
1801212,65.79,11.41,almost pippish,MCG,65.6,63.7
1801302,66.47,11.44,almost pippish,MCG,66.8,64.9
1802022,66.65,11.59,almost pippish,MCG,66.3,65.4
1802112,66.28,11.59,almost pippish,MCG,66.1,64.2
1802202,66.55,11.56,almost pippish,MCG,66.8,65.4
1803012,67.73,11.86,pippish,low checkers,63.5,65.9
1803102,67.57,11.79,pippish,low checkers,64.5,65.9
1804002,69.24,12.06,pippish,low checkers,65.0,67.6
1810032,65.92,11.23,almost pippish,MCG,66.3,65.4
1810122,65.78,11.41,almost pippish,MCG,65.5,64.2
1810212,66.22,11.58,almost pippish,MCG,65.8,64.2
1810302,67.3,11.65,almost pippish,MCG,67.0,65.4
1811022,66.27,11.59,almost pippish,MCG,66.3,64.7
1811112,66.26,11.77,almost pippish,MCG,66.0,63.5
1811202,66.98,11.81,almost pippish,MCG,66.8,64.7
1812012,67.35,11.93,pippish,low checkers,64.5,65.2
1812102,67.55,12.01,pippish,low checkers,65.5,65.2
1813002,68.98,12.16,pippish,low checkers,66.0,66.9
1820022,66.57,11.54,almost pippish,MCG,67.0,66.4
1820112,66.98,11.83,almost pippish,MCG,66.7,65.2
1820202,68.06,11.96,almost pippish,MCG,67.5,66.4
1821012,67.54,12,pippish,low checkers,65.5,65.7
1821102,68.18,12.16,pippish,low checkers,66.5,65.7
1822002,69.22,12.29,pippish,low checkers,67.0,67.4
1830012,68.33,12.04,pippish,low checkers,66.5,67.4
1830102,69.31,12.25,pippish,low checkers,67.5,67.4
1831002,69.93,12.43,pippish,low checkers,68.0,67.9
1840002,70.99,12.52,pippish,low checkers,69.0,69.6
1900032,68.52,11.55,almost pippish,MCG,68.4,67.6
1900122,68.34,11.61,almost pippish,MCG,67.6,66.4
1900212,68.53,11.7,almost pippish,MCG,67.9,66.4
1900302,69.25,11.77,almost pippish,MCG,69.1,67.6
1901022,68.7,11.81,almost pippish,MCG,68.4,66.9
1901112,68.53,11.88,almost pippish,MCG,68.1,65.7
1901202,68.92,11.91,almost pippish,MCG,68.9,66.9
1902012,69.54,12.07,pippish,low checkers,65.5,67.4
1902102,69.48,12.1,pippish,low checkers,66.5,67.4
1903002,70.91,12.29,pippish,low checkers,67.0,69.1
1910022,68.61,11.81,almost pippish,MCG,68.6,67.4
1910112,68.85,11.98,almost pippish,MCG,68.3,66.2
1910202,69.69,12.08,almost pippish,MCG,69.1,67.4
1911012,69.39,12.18,pippish,low checkers,66.5,66.7
1911102,69.78,12.27,pippish,low checkers,67.5,66.7
1912002,70.85,12.41,pippish,low checkers,68.0,68.4
1920012,69.84,12.21,pippish,low checkers,67.5,68.4
1920102,70.71,12.36,pippish,low checkers,68.5,68.4
1921002,71.29,12.53,pippish,low checkers,69.0,68.9
1930002,72.2,12.63,pippish,low checkers,70.0,70.6
1A00022,71.11,11.99,almost pippish,MCG,70.6,69.6
1A00112,71.15,12.08,almost pippish,MCG,70.4,68.4
1A00202,71.66,12.17,almost pippish,MCG,71.1,69.6
1A01012,71.61,12.28,pippish,low checkers,67.5,68.9
1A01102,71.73,12.35,pippish,low checkers,68.5,68.9
1A02002,72.77,12.51,pippish,low checkers,69.0,70.6
1A10012,71.72,12.35,pippish,low checkers,68.5,69.4
1A10102,72.35,12.46,pippish,low checkers,69.5,69.4
1A11002,72.91,12.63,pippish,low checkers,70.0,69.9
1A20002,73.59,12.72,pippish,low checkers,71.0,71.6
1B00012,74.01,12.44,pippish,low checkers,69.5,71.6
1B00102,74.33,12.52,pippish,low checkers,70.5,71.6
1B01002,74.87,12.72,pippish,low checkers,71.0,72.1
1B10002,75.24,12.8,pippish,low checkers,72.0,72.6
1C00002,77.21,12.87,pippish,low checkers,73.0,74.8
20000B2,54.48,8.86,rollish,NNM,49.5,53.8
20001A2,53.99,8.77,rollish,NNM,49.7,52.6
2000292,53.86,8.73,rollish,NNM,49.8,52.6
2000382,53.8,8.75,rollish,NNM,50.0,52.6
2000472,53.74,8.77,rollish,NNM,50.2,52.6
2000562,53.76,8.78,rollish,NNM,50.3,52.6
2000652,53.87,8.77,rollish,NNM,50.5,52.6
2000742,54.11,8.76,rollish,NNM,50.6,52.6
2000832,54.51,8.84,rollish,NNM,50.8,52.6
2000922,55.2,9.07,rollish,NNM,50.9,52.6
2000A12,56.37,9.38,rollish,NNM,51.2,52.6
2000B02,57.95,9.64,rollish,NNM,51.5,53.8
20010A2,54.27,8.81,rollish,NNM,49.8,53.1
2001192,53.65,8.66,rollish,NNM,50.0,51.9
2001282,53.5,8.59,rollish,NNM,50.2,51.9
2001372,53.4,8.62,rollish,NNM,50.3,51.9
2001462,53.36,8.65,rollish,NNM,50.5,51.9
2001552,53.43,8.65,rollish,NNM,50.6,51.9
2001642,53.65,8.65,rollish,NNM,50.8,51.9
2001732,54.04,8.71,rollish,NNM,50.9,51.9
2001822,54.7,8.95,rollish,NNM,51.2,51.9
2001912,55.83,9.3,rollish,NNM,51.5,51.9
2001A02,57.43,9.58,rollish,NNM,51.8,53.1
2002092,54.5,8.91,rollish,NNM,50.2,53.6
2002182,53.7,8.71,rollish,NNM,50.3,52.4
2002272,53.46,8.59,rollish,NNM,50.5,52.4
2002362,53.36,8.59,rollish,NNM,50.6,52.4
2002452,53.35,8.62,rollish,NNM,50.8,52.4
2002542,53.51,8.63,rollish,NNM,50.9,52.4
2002632,53.88,8.7,rollish,NNM,51.2,52.4
2002722,54.53,8.94,rollish,NNM,51.5,52.4
2002812,55.67,9.29,rollish,NNM,51.8,52.4
2002902,57.29,9.55,rollish,NNM,52.1,53.6
2003082,54.96,9.02,rollish,NNM,50.5,54.1
2003172,54,8.79,rollish,NNM,50.6,52.9
2003262,53.64,8.61,rollish,NNM,50.8,52.9
2003352,53.55,8.58,rollish,NNM,50.9,52.9
2003442,53.63,8.6,rollish,NNM,51.2,52.9
2003532,53.92,8.68,rollish,NNM,51.5,52.9
2003622,54.54,8.93,rollish,NNM,51.8,52.9
2003712,55.67,9.27,rollish,NNM,52.1,52.9
2003802,57.28,9.53,rollish,NNM,52.4,54.1
2004072,55.4,9.19,rollish,NNM,50.8,54.6
2004162,54.37,8.92,rollish,NNM,50.9,53.4
2004252,53.95,8.68,rollish,NNM,51.2,53.4
2004342,53.89,8.61,rollish,NNM,51.5,53.4
2004432,54.09,8.68,rollish,NNM,51.8,53.4
2004522,54.61,8.94,rollish,NNM,52.1,53.4
2004612,55.69,9.29,rollish,NNM,52.4,53.4
2004702,57.28,9.55,rollish,NNM,52.7,54.6
2005062,55.94,9.39,rollish,NNM,51.2,55.1
2005152,54.85,9.08,rollish,NNM,51.5,53.9
2005242,54.43,8.78,rollish,NNM,51.8,53.9
2005332,54.46,8.74,rollish,NNM,52.1,53.9
2005422,54.86,8.97,rollish,NNM,52.4,53.9
2005512,55.84,9.32,rollish,NNM,52.7,53.9
2005602,57.38,9.58,rollish,NNM,53.0,55.1
2006052,56.63,9.57,almost rollish,MCG,56.5,55.6
2006142,55.53,9.24,almost rollish,MCG,55.8,54.4
2006232,55.16,8.98,almost rollish,MCG,55.5,54.4
2006322,55.37,9.08,almost rollish,MCG,55.8,54.4
2006412,56.2,9.39,almost rollish,MCG,56.5,54.4
2006502,57.64,9.64,almost rollish,MCG,57.8,55.6
2007042,57.45,9.76,almost pippish,MCG,57.6,56.1
