ID,EPC,VARIANCE,DESCRIPTION,METHOD,BESTIMATE,FASTIMATE
000000F,0,0,few checkers,few checkers,-1.0,-1
000001E,8.17,2.07,few checkers,few checkers,-1.0,-1
000010E,8.17,2.07,few checkers,few checkers,-1.0,-1
000100E,8.17,2.07,few checkers,few checkers,-1.0,-1
001000E,8.62,2.83,few checkers,few checkers,-1.0,-1
010000E,9.3,3.59,few checkers,few checkers,-1.0,-1
100000E,10.21,4.23,few checkers,few checkers,-1.0,-1
000002D,8.17,2.07,few checkers,few checkers,-1.0,-1
000011D,8.17,2.07,few checkers,few checkers,-1.0,-1
000020D,10.44,4.34,few checkers,few checkers,-1.0,-1
000101D,8.62,2.83,few checkers,few checkers,-1.0,-1
000110D,10.66,4.45,few checkers,few checkers,-1.0,-1
000200D,12.48,4.82,few checkers,few checkers,-1.0,-1
001001D,9.75,3.95,few checkers,few checkers,-1.0,-1
001010D,11.12,4.61,few checkers,few checkers,-1.0,-1
001100D,12.5,4.86,few checkers,few checkers,-1.0,-1
002000D,13.96,4.81,few checkers,few checkers,-1.0,-1
010001D,11.12,4.61,few checkers,few checkers,-1.0,-1
010010D,12.05,4.84,few checkers,few checkers,-1.0,-1
010100D,13.26,4.93,few checkers,few checkers,-1.0,-1
011000D,14.37,4.98,few checkers,few checkers,-1.0,-1
020000D,15.64,4.93,few checkers,few checkers,-1.0,-1
100001D,12.96,4.84,few checkers,few checkers,-1.0,-1
100010D,13.49,4.89,few checkers,few checkers,-1.0,-1
100100D,14.32,4.91,few checkers,few checkers,-1.0,-1
101000D,15.11,5.11,few checkers,few checkers,-1.0,-1
110000D,16.01,5.29,few checkers,few checkers,-1.0,-1
200000D,17.23,5.55,few checkers,few checkers,-1.0,-1
000003C,14.97,4.14,few checkers,few checkers,-1.0,-1
000012C,14.97,4.14,few checkers,few checkers,-1.0,-1
000021C,15.2,4,few checkers,few checkers,-1.0,-1
000030C,15.2,4,few checkers,few checkers,-1.0,-1
000102C,15.2,4,few checkers,few checkers,-1.0,-1
000111C,15.2,4,few checkers,few checkers,-1.0,-1
000120C,15.22,4.03,few checkers,few checkers,-1.0,-1
000201C,15.45,3.87,few checkers,few checkers,-1.0,-1
000210C,15.68,4.16,few checkers,few checkers,-1.0,-1
000300C,16.39,4.89,few checkers,few checkers,-1.0,-1
001002C,15.2,4,few checkers,few checkers,-1.0,-1
001011C,15.22,4.03,few checkers,few checkers,-1.0,-1
001020C,15.43,4.29,few checkers,few checkers,-1.0,-1
001101C,15.55,4,few checkers,few checkers,-1.0,-1
001110C,15.82,4.33,few checkers,few checkers,-1.0,-1
001200C,16.49,4.98,few checkers,few checkers,-1.0,-1
002001C,16.4,4.51,few checkers,few checkers,-1.0,-1
002010C,16.57,4.66,few checkers,few checkers,-1.0,-1
002100C,17.33,5.25,few checkers,few checkers,-1.0,-1
003000C,18.52,5.88,few checkers,few checkers,-1.0,-1
010002C,15.45,3.87,few checkers,few checkers,-1.0,-1
010011C,15.63,4.1,few checkers,few checkers,-1.0,-1
010020C,16.26,4.78,few checkers,few checkers,-1.0,-1
010101C,15.76,4.25,few checkers,few checkers,-1.0,-1
010110C,16.16,4.68,few checkers,few checkers,-1.0,-1
010200C,17.22,5.52,few checkers,few checkers,-1.0,-1
011001C,16.34,4.45,few checkers,few checkers,-1.0,-1
011010C,17,5.02,few checkers,few checkers,-1.0,-1
011100C,17.65,5.47,few checkers,few checkers,-1.0,-1
012000C,18.69,6,few checkers,few checkers,-1.0,-1
020001C,17.95,5.25,few checkers,few checkers,-1.0,-1
020010C,18.47,5.53,few checkers,few checkers,-1.0,-1
020100C,19.08,5.8,few checkers,few checkers,-1.0,-1
021000C,19.74,6.09,few checkers,few checkers,-1.0,-1
030000C,21.15,6.39,few checkers,few checkers,-1.0,-1
100002C,15.93,4.44,few checkers,few checkers,-1.0,-1
100011C,15.86,4.37,few checkers,few checkers,-1.0,-1
100020C,17,5.36,few checkers,few checkers,-1.0,-1
100101C,16.14,4.66,few checkers,few checkers,-1.0,-1
100110C,16.99,5.37,few checkers,few checkers,-1.0,-1
100200C,17.91,5.92,few checkers,few checkers,-1.0,-1
101001C,17.14,5.12,few checkers,few checkers,-1.0,-1
101010C,17.66,5.47,few checkers,few checkers,-1.0,-1
101100C,18.4,5.88,few checkers,few checkers,-1.0,-1
102000C,19.6,6.38,few checkers,few checkers,-1.0,-1
110001C,18.01,5.31,few checkers,few checkers,-1.0,-1
110010C,19.02,5.77,few checkers,few checkers,-1.0,-1
110100C,19.4,5.98,few checkers,few checkers,-1.0,-1
111000C,20.31,6.32,few checkers,few checkers,-1.0,-1
120000C,21.45,6.61,few checkers,few checkers,-1.0,-1
200001C,20.06,5.65,few checkers,few checkers,-1.0,-1
200010C,20.63,5.83,few checkers,few checkers,-1.0,-1
200100C,21.06,6.01,few checkers,few checkers,-1.0,-1
201000C,21.81,6.29,few checkers,few checkers,-1.0,-1
210000C,22.47,6.55,few checkers,few checkers,-1.0,-1
300000C,23.79,6.75,few checkers,few checkers,-1.0,-1
000004B,14.97,4.14,few checkers,few checkers,-1.0,-1
000013B,15.2,4,few checkers,few checkers,-1.0,-1
000022B,15.2,4,few checkers,few checkers,-1.0,-1
000031B,15.83,4.74,few checkers,few checkers,-1.0,-1
000040B,18.48,6.42,few checkers,few checkers,-1.0,-1
000103B,15.8,4.31,few checkers,few checkers,-1.0,-1
000112B,15.45,3.87,few checkers,few checkers,-1.0,-1
000121B,16.08,4.6,few checkers,few checkers,-1.0,-1
000130B,18.71,6.2,few checkers,few checkers,-1.0,-1
000202B,17.44,5.64,few checkers,few checkers,-1.0,-1
000211B,16.39,4.89,few checkers,few checkers,-1.0,-1
000220B,18.81,6.23,few checkers,few checkers,-1.0,-1
000301B,18.81,6.23,few checkers,few checkers,-1.0,-1
000310B,19.59,6.44,few checkers,few checkers,-1.0,-1
000400B,21.01,6.65,few checkers,few checkers,-1.0,-1
001003B,16.79,4.84,few checkers,few checkers,-1.0,-1
001012B,16.51,4.61,few checkers,few checkers,-1.0,-1
001021B,17.01,5.01,few checkers,few checkers,-1.0,-1
001030B,19.21,6.04,few checkers,few checkers,-1.0,-1
001102B,17.76,5.49,few checkers,few checkers,-1.0,-1
001111B,16.72,4.79,few checkers,few checkers,-1.0,-1
001120B,19.08,6.02,few checkers,few checkers,-1.0,-1
001201B,19.05,6.01,few checkers,few checkers,-1.0,-1
001210B,19.66,6.19,few checkers,few checkers,-1.0,-1
001300B,21.26,6.38,few checkers,few checkers,-1.0,-1
002002B,19.44,6.09,few checkers,few checkers,-1.0,-1
002011B,18.77,5.92,few checkers,few checkers,-1.0,-1
002020B,20.27,6.26,few checkers,few checkers,-1.0,-1
002101B,19.2,6.09,few checkers,few checkers,-1.0,-1
002110B,19.96,6.36,few checkers,few checkers,-1.0,-1
002200B,21.35,6.56,few checkers,few checkers,-1.0,-1
003001B,21.07,6.43,few checkers,few checkers,-1.0,-1
003010B,21.5,6.55,few checkers,few checkers,-1.0,-1
003100B,22.12,6.83,few checkers,few checkers,-1.0,-1
004000B,23.38,7.19,few checkers,few checkers,-1.0,-1
010003B,18.17,5.35,few checkers,few checkers,-1.0,-1
010012B,17.98,5.25,few checkers,few checkers,-1.0,-1
010021B,18.36,5.43,few checkers,few checkers,-1.0,-1
010030B,20.04,5.94,few checkers,few checkers,-1.0,-1
010102B,19.06,5.68,few checkers,few checkers,-1.0,-1
010111B,18.33,5.43,few checkers,few checkers,-1.0,-1
010120B,19.94,5.91,few checkers,few checkers,-1.0,-1
010201B,19.91,5.9,few checkers,few checkers,-1.0,-1
010210B,20.6,6.03,few checkers,few checkers,-1.0,-1
010300B,21.84,6.24,few checkers,few checkers,-1.0,-1
011002B,19.99,5.88,few checkers,few checkers,-1.0,-1
011011B,19.2,5.77,few checkers,few checkers,-1.0,-1
011020B,20.66,6.08,few checkers,few checkers,-1.0,-1
011101B,19.81,5.96,few checkers,few checkers,-1.0,-1
011110B,20.42,6.18,few checkers,few checkers,-1.0,-1
011200B,21.81,6.33,few checkers,few checkers,-1.0,-1
012001B,21.4,6.16,few checkers,few checkers,-1.0,-1
012010B,21.86,6.32,few checkers,few checkers,-1.0,-1
012100B,22.5,6.6,few checkers,few checkers,-1.0,-1
013000B,23.69,6.88,few checkers,few checkers,-1.0,-1
020002B,21.29,5.95,few checkers,few checkers,-1.0,-1
020011B,21.03,6.06,few checkers,few checkers,-1.0,-1
020020B,21.96,6.31,few checkers,few checkers,-1.0,-1
020101B,21.49,6.3,few checkers,few checkers,-1.0,-1
020110B,21.86,6.31,few checkers,few checkers,-1.0,-1
020200B,22.96,6.72,few checkers,few checkers,-1.0,-1
021001B,21.95,6.29,few checkers,few checkers,-1.0,-1
021010B,22.46,6.64,few checkers,few checkers,-1.0,-1
021100B,23.14,6.88,few checkers,few checkers,-1.0,-1
022000B,24.15,7.16,few checkers,few checkers,-1.0,-1
030001B,23.68,6.63,few checkers,few checkers,-1.0,-1
030010B,24.12,6.88,few checkers,few checkers,-1.0,-1
030100B,24.67,7.18,few checkers,few checkers,-1.0,-1
031000B,25.25,7.44,few checkers,few checkers,-1.0,-1
040000B,26.75,7.87,few checkers,few checkers,-1.0,-1
100003B,19.94,5.54,few checkers,few checkers,-1.0,-1
100012B,19.87,5.53,few checkers,few checkers,-1.0,-1
100021B,20.12,5.57,few checkers,few checkers,-1.0,-1
100030B,21.19,5.71,few checkers,few checkers,-1.0,-1
100102B,20.56,5.6,few checkers,few checkers,-1.0,-1
100111B,20.04,5.59,few checkers,few checkers,-1.0,-1
100120B,21.18,5.73,few checkers,few checkers,-1.0,-1
100201B,21.18,5.69,few checkers,few checkers,-1.0,-1
100210B,21.64,5.86,few checkers,few checkers,-1.0,-1
100300B,22.76,6.18,few checkers,few checkers,-1.0,-1
101002B,21.11,5.62,few checkers,few checkers,-1.0,-1
101011B,20.68,5.7,few checkers,few checkers,-1.0,-1
101020B,21.64,5.84,few checkers,few checkers,-1.0,-1
101101B,21.18,5.84,few checkers,few checkers,-1.0,-1
101110B,21.66,6.04,few checkers,few checkers,-1.0,-1
101200B,22.74,6.21,few checkers,few checkers,-1.0,-1
102001B,22.4,5.98,few checkers,few checkers,-1.0,-1
102010B,22.81,6.17,few checkers,few checkers,-1.0,-1
102100B,23.28,6.52,few checkers,few checkers,-1.0,-1
103000B,24.64,6.88,few checkers,few checkers,-1.0,-1
110002B,21.72,5.65,few checkers,few checkers,-1.0,-1
110011B,21.42,5.79,few checkers,few checkers,-1.0,-1
110020B,22.42,6.04,few checkers,few checkers,-1.0,-1
110101B,21.89,5.94,few checkers,few checkers,-1.0,-1
110110B,22.39,6.2,few checkers,few checkers,-1.0,-1
110200B,23.33,6.44,few checkers,few checkers,-1.0,-1
111001B,22.55,6.15,few checkers,few checkers,-1.0,-1
111010B,23.09,6.48,few checkers,few checkers,-1.0,-1
111100B,23.67,6.79,few checkers,few checkers,-1.0,-1
112000B,24.79,7.02,few checkers,few checkers,-1.0,-1
120001B,23.95,6.28,few checkers,few checkers,-1.0,-1
120010B,24.5,6.62,few checkers,few checkers,-1.0,-1
120100B,24.93,6.93,few checkers,few checkers,-1.0,-1
121000B,25.79,7.21,few checkers,few checkers,-1.0,-1
130000B,27.1,7.5,few checkers,few checkers,-1.0,-1
200002B,22.76,5.81,few checkers,few checkers,-1.0,-1
200011B,22.63,5.92,few checkers,few checkers,-1.0,-1
200020B,23.79,6.49,few checkers,few checkers,-1.0,-1
200101B,23.12,6.13,few checkers,few checkers,-1.0,-1
200110B,23.72,6.47,few checkers,few checkers,-1.0,-1
200200B,24.53,6.82,few checkers,few checkers,-1.0,-1
201001B,23.88,6.63,few checkers,few checkers,-1.0,-1
201010B,24.19,6.7,few checkers,few checkers,-1.0,-1
201100B,24.91,7.03,few checkers,few checkers,-1.0,-1
202000B,26.06,7.39,few checkers,few checkers,-1.0,-1
210001B,24.42,6.61,few checkers,few checkers,-1.0,-1
210010B,25.24,7.04,few checkers,few checkers,-1.0,-1
210100B,25.73,7.22,few checkers,few checkers,-1.0,-1
211000B,26.53,7.54,few checkers,few checkers,-1.0,-1
220000B,27.65,7.8,few checkers,few checkers,-1.0,-1
300001B,26.44,6.91,few checkers,few checkers,-1.0,-1
300010B,26.96,7.16,few checkers,few checkers,-1.0,-1
300100B,27.35,7.33,few checkers,few checkers,-1.0,-1
301000B,28.14,7.64,few checkers,few checkers,-1.0,-1
310000B,28.85,7.88,few checkers,few checkers,-1.0,-1
400000B,30.3,8.08,few checkers,few checkers,-1.0,-1
000005A,22,5.07,rollish,NNM,20.0,-1
000014A,22,5.07,rollish,NNM,20.4,-1
000023A,22,5.07,rollish,NNM,20.8,-1
000032A,22.13,5.04,rollish,NNM,21.2,-1
000041A,22.39,4.96,rollish,NNM,21.6,-1
000050A,22.56,5.18,rollish,NNM,22.0,-1
000104A,22,5.07,rollish,NNM,20.8,-1
000113A,22.03,5.07,rollish,NNM,21.2,-1
000122A,22.14,5.04,rollish,NNM,21.6,-1
000131A,22.39,4.96,rollish,NNM,22.0,-1
000140A,22.58,5.17,rollish,NNM,22.4,-1
000203A,22.36,5,rollish,NNM,21.6,-1
000212A,22.44,4.94,rollish,NNM,22.0,-1
000221A,22.61,4.91,rollish,NNM,22.4,-1
000230A,22.68,5.19,rollish,NNM,22.8,-1
000302A,22.89,5.09,scrunched,NNM,22.4,-1
000311A,22.82,4.99,scrunched,NNM,22.8,-1
000320A,23.2,5.4,scrunched,NNM,23.4,-1
000401A,23.85,5.87,scrunched,NNM,23.4,-1
000410A,24.17,6.16,scrunched,NNM,24.2,-1
000500A,25.39,6.9,scrunched,NNM,25.0,-1
001004A,22.03,5.07,rollish,NNM,21.2,-1
001013A,22.07,5.05,rollish,NNM,21.6,-1
001022A,22.16,5.03,rollish,NNM,22.0,-1
001031A,22.44,5.02,rollish,NNM,22.4,-1
001040A,22.83,5.43,rollish,NNM,22.8,-1
001103A,22.37,4.97,rollish,NNM,22.0,-1
001112A,22.45,4.95,rollish,NNM,22.4,-1
001121A,22.46,5.01,rollish,NNM,22.8,-1
001130A,22.8,5.24,rollish,NNM,23.4,-1
001202A,22.81,4.99,scrunched,NNM,22.8,-1
001211A,22.85,5.02,scrunched,NNM,23.4,-1
001220A,23.16,5.45,scrunched,NNM,24.2,-1
001301A,23.59,5.65,scrunched,NNM,24.2,-1
001310A,24.19,6.14,scrunched,NNM,25.0,-1
001400A,25.31,6.83,scrunched,NNM,25.8,-1
002003A,23.16,5.32,rollish,NNM,22.4,-1
002012A,22.93,5.01,rollish,NNM,22.8,-1
002021A,22.93,5.11,rollish,NNM,23.4,-1
002030A,23.66,5.68,rollish,NNM,24.2,-1
002102A,23.12,4.96,scrunched,NNM,23.4,-1
002111A,23.24,5.1,scrunched,NNM,24.2,-1
002120A,23.65,5.57,scrunched,NNM,25.0,-1
002201A,23.78,5.51,scrunched,NNM,25.0,-1
002210A,24.54,6.08,scrunched,NNM,25.8,-1
002300A,25.42,6.78,scrunched,NNM,26.6,-1
003002A,24.31,5.81,scrunched,NNM,24.2,-1
003011A,24.1,5.69,scrunched,NNM,25.0,-1
003020A,24.74,6.22,scrunched,NNM,25.8,-1
003101A,24.39,5.87,scrunched,NNM,25.8,-1
003110A,25.07,6.36,scrunched,NNM,26.6,-1
003200A,26.01,6.9,scrunched,NNM,27.4,-1
004001A,26.3,6.81,scrunched,NNM,26.6,-1
004010A,26.41,6.96,scrunched,NNM,27.4,-1
004100A,26.99,7.3,scrunched,NNM,28.2,-1
005000A,28.56,7.64,scrunched,NNM,29.0,-1
010004A,22.28,5.03,rollish,NNM,21.6,-1
010013A,22.34,4.98,rollish,NNM,22.0,-1
010022A,22.46,5.01,rollish,NNM,22.4,-1
010031A,22.72,5.32,rollish,NNM,22.8,-1
010040A,23.59,5.95,rollish,NNM,23.4,-1
010103A,22.63,5.16,rollish,NNM,22.4,-1
010112A,22.56,4.96,rollish,NNM,22.8,-1
010121A,22.8,5.04,rollish,NNM,23.4,-1
010130A,23.35,5.6,rollish,NNM,24.2,-1
010202A,23.5,5.64,almost pippish,MM8,23.5,-1
010211A,23.05,5.22,almost pippish,MM8,23.1,-1
010220A,23.69,5.72,almost pippish,MM8,24.1,-1
010301A,24.32,6.21,pippish,MM8,24.6,-1
010310A,24.67,6.39,pippish,MM8,24.9,-1
010400A,25.97,7.05,pippish,MM8,26.4,-1
011003A,23,5.12,rollish,NNM,22.8,-1
011012A,22.99,5.02,rollish,NNM,23.4,-1
011021A,23.21,5.3,rollish,NNM,24.2,-1
011030A,24.12,5.95,rollish,NNM,25.0,-1
011102A,23.43,5.25,almost pippish,MM8,23.4,-1
011111A,23.35,5.18,almost pippish,MM8,22.7,-1
011120A,23.93,5.71,almost pippish,MM8,24.0,-1
011201A,24.17,5.82,pippish,MM8,24.2,-1
011210A,24.74,6.19,pippish,MM8,24.5,-1
011300A,25.78,6.83,pippish,MM8,26.0,-1
012002A,24.21,5.77,almost pippish,MM8,24.7,-1
012011A,24.17,5.72,almost pippish,MM8,24.3,-1
012020A,24.96,6.29,almost pippish,MM8,25.3,-1
012101A,24.57,5.98,pippish,MM8,24.8,-1
012110A,25.23,6.41,pippish,MM8,25.1,-1
012200A,26.2,6.91,pippish,MM8,26.3,-1
013001A,26.2,6.8,pippish,MM8,26.4,-1
013010A,26.55,6.96,pippish,MM8,26.7,-1
013100A,27.13,7.27,pippish,MM8,27.2,-1
014000A,28.64,7.65,pippish,MM8,28.8,-1
020003A,24.64,5.87,rollish,NNM,23.4,-1
020012A,24.23,5.56,rollish,NNM,24.2,-1
020021A,24.6,5.8,rollish,NNM,25.0,-1
020030A,25.74,6.49,rollish,NNM,25.8,-1
020102A,25.01,5.98,almost pippish,MM8,24.9,-1
020111A,24.44,5.64,almost pippish,MM8,24.5,-1
020120A,25.15,6.08,almost pippish,MM8,25.5,-1
020201A,25.94,6.5,pippish,MM8,25.7,-1
020210A,25.81,6.49,pippish,MM8,26.0,-1
020300A,27.33,7.1,pippish,MM8,27.5,-1
021002A,24.95,5.9,almost pippish,MM8,25.5,-1
021011A,24.95,5.92,almost pippish,MM8,25.1,-1
021020A,26.05,6.53,almost pippish,MM8,26.1,-1
021101A,25.53,6.25,pippish,MM8,25.6,-1
021110A,26.07,6.58,pippish,MM8,25.9,-1
021200A,27.12,7.02,pippish,MM8,27.1,-1
022001A,26.69,6.75,pippish,MM8,26.9,-1
022010A,27.26,6.98,pippish,MM8,27.2,-1
022100A,27.81,7.27,pippish,MM8,27.7,-1
023000A,29.05,7.66,pippish,MM8,29.3,-1
030002A,26.81,6.56,almost pippish,MM8,27.3,-1
030011A,26.66,6.6,almost pippish,MM8,26.9,-1
030020A,27.6,6.96,almost pippish,MM8,27.9,-1
030101A,27.34,6.89,pippish,MM8,27.4,-1
030110A,27.39,6.99,pippish,MM8,27.7,-1
030200A,28.66,7.41,pippish,MM8,28.9,-1
031001A,27.55,6.98,pippish,MM8,28.0,-1
031010A,28.32,7.29,pippish,MM8,28.3,-1
031100A,28.82,7.57,pippish,MM8,28.8,-1
032000A,29.84,7.82,pippish,MM8,30.1,-1
040001A,29.66,7.35,pippish,MM8,29.8,-1
040010A,29.99,7.57,pippish,MM8,30.1,-1
040100A,30.47,7.91,pippish,MM8,30.6,-1
041000A,30.91,8.14,pippish,MM8,31.2,-1
050000A,32.63,8.3,pippish,MM8,33.0,-1
100004A,22.8,5.43,rollish,NNM,22.0,-1
100013A,22.48,5.01,rollish,NNM,22.4,-1
100022A,22.61,5.04,rollish,NNM,22.8,-1
100031A,23.08,5.62,rollish,NNM,23.4,-1
100040A,24.57,6.49,rollish,NNM,24.2,-1
100103A,22.83,5.23,rollish,NNM,22.8,-1
100112A,22.74,5.05,rollish,NNM,23.4,-1
100121A,23.19,5.44,rollish,NNM,24.2,-1
100130A,24.46,6.3,rollish,NNM,25.0,-1
100202A,23.58,5.68,almost pippish,MM8,24.3,-1
100211A,23.46,5.61,almost pippish,MM8,23.9,-1
100220A,24.73,6.33,almost pippish,MM8,24.9,-1
100301A,24.77,6.5,pippish,MM8,25.4,-1
100310A,25.49,6.7,pippish,MM8,25.7,-1
100400A,26.81,7.23,pippish,MM8,27.2,-1
101003A,23.83,5.7,rollish,NNM,23.4,-1
101012A,23.33,5.24,rollish,NNM,24.2,-1
101021A,23.62,5.55,rollish,NNM,25.0,-1
101030A,24.98,6.36,rollish,NNM,25.8,-1
101102A,24.05,5.74,almost pippish,MM8,24.2,-1
101111A,23.77,5.52,almost pippish,MM8,23.5,-1
101120A,24.68,6.12,almost pippish,MM8,24.8,-1
101201A,24.72,6.36,pippish,MM8,25.0,-1
101210A,25.26,6.54,pippish,MM8,25.3,-1
101300A,26.78,7.05,pippish,MM8,26.8,-1
102002A,25.19,6.33,almost pippish,MM8,25.5,-1
102011A,24.72,6.13,almost pippish,MM8,25.1,-1
102020A,25.79,6.65,almost pippish,MM8,26.1,-1
102101A,25.4,6.48,pippish,MM8,25.6,-1
102110A,25.94,6.72,pippish,MM8,25.9,-1
102200A,27.06,7.19,pippish,MM8,27.1,-1
103001A,26.89,7.07,pippish,MM8,27.2,-1
103010A,27.21,7.21,pippish,MM8,27.5,-1
103100A,27.96,7.47,pippish,MM8,28.0,-1
104000A,29.35,7.83,pippish,MM8,29.6,-1
110003A,24.6,5.83,rollish,NNM,24.2,-1
110012A,24.36,5.65,rollish,NNM,25.0,-1
110021A,24.86,5.97,rollish,NNM,25.8,-1
110030A,26.29,6.65,rollish,NNM,26.6,-1
110102A,24.75,5.86,almost pippish,MM8,25.0,-1
110111A,24.65,5.82,almost pippish,MM8,24.3,-1
110120A,25.89,6.45,almost pippish,MM8,25.6,-1
110201A,25.57,6.52,pippish,MM8,25.8,-1
110210A,26.29,6.79,pippish,MM8,26.1,-1
110300A,27.6,7.11,pippish,MM8,27.6,-1
111002A,25.5,6.21,almost pippish,MM8,25.6,-1
111011A,25.12,6.06,almost pippish,MM8,24.9,-1
111020A,26.39,6.67,almost pippish,MM8,26.2,-1
111101A,25.84,6.43,pippish,MM8,25.4,-1
111110A,26.46,6.75,pippish,MM8,25.7,-1
111200A,27.51,7.13,pippish,MM8,27.2,-1
112001A,27.02,6.88,pippish,MM8,27.0,-1
112010A,27.51,7.12,pippish,MM8,27.3,-1
112100A,28.23,7.37,pippish,MM8,27.8,-1
113000A,29.45,7.76,pippish,MM8,29.4,-1
120002A,26.82,6.56,almost pippish,MM8,27.1,-1
120011A,26.76,6.61,almost pippish,MM8,26.7,-1
120020A,27.84,6.95,almost pippish,MM8,27.7,-1
120101A,27.14,6.88,pippish,MM8,27.2,-1
120110A,27.68,7.06,pippish,MM8,27.5,-1
120200A,28.73,7.43,pippish,MM8,28.7,-1
121001A,27.73,7.03,pippish,MM8,27.8,-1
121010A,28.44,7.36,pippish,MM8,28.1,-1
121100A,29.08,7.63,pippish,MM8,28.6,-1
122000A,30.13,7.86,pippish,MM8,29.9,-1
130001A,29.54,7.35,pippish,MM8,29.6,-1
130010A,30.07,7.56,pippish,MM8,29.9,-1
130100A,30.52,7.89,pippish,MM8,30.4,-1
131000A,31.14,8.11,pippish,MM8,31.0,-1
140000A,32.7,8.28,pippish,MM8,32.8,-1
200003A,26.69,6.26,rollish,NNM,25.0,-1
200012A,26.36,6.17,rollish,NNM,25.8,-1
200021A,26.72,6.3,rollish,NNM,26.6,-1
200030A,27.86,6.65,rollish,NNM,27.4,-1
200102A,26.7,6.26,almost pippish,MM8,26.5,-1
200111A,26.54,6.26,almost pippish,MM8,26.1,-1
200120A,27.57,6.6,almost pippish,MM8,27.1,-1
200201A,27.47,6.64,pippish,MM8,27.3,-1
200210A,27.9,6.82,pippish,MM8,27.6,-1
200300A,29.16,7.08,pippish,MM8,29.1,-1
201002A,27.45,6.44,almost pippish,MM8,27.1,-1
201011A,26.99,6.4,almost pippish,MM8,26.7,-1
201020A,27.91,6.71,almost pippish,MM8,27.7,-1
201101A,27.69,6.67,pippish,MM8,27.2,-1
201110A,27.84,6.84,pippish,MM8,27.5,-1
201200A,29,7.14,pippish,MM8,28.7,-1
202001A,28.81,6.88,pippish,MM8,28.5,-1
202010A,28.98,7.13,pippish,MM8,28.8,-1
202100A,29.64,7.39,pippish,MM8,29.3,-1
203000A,30.87,7.74,pippish,MM8,30.9,-1
210002A,27.75,6.51,almost pippish,MM8,27.9,-1
210011A,27.64,6.59,almost pippish,MM8,27.5,-1
210020A,28.81,6.95,almost pippish,MM8,28.5,-1
210101A,27.98,6.79,pippish,MM8,28.0,-1
210110A,28.8,7.11,pippish,MM8,28.3,-1
210200A,29.64,7.39,pippish,MM8,29.5,-1
211001A,28.77,7.07,pippish,MM8,28.6,-1
211010A,29.34,7.36,pippish,MM8,28.9,-1
211100A,30.06,7.62,pippish,MM8,29.4,-1
212000A,31.05,7.92,pippish,MM8,30.7,-1
220001A,30.11,7.22,pippish,MM8,30.1,-1
220010A,30.72,7.5,pippish,MM8,30.4,-1
220100A,31.22,7.83,pippish,MM8,30.9,-1
221000A,31.89,8.14,pippish,MM8,31.5,-1
230000A,33.21,8.33,pippish,MM8,33.3,-1
300002A,29.34,6.7,almost pippish,MM8,29.7,-1
300011A,29.3,6.81,almost pippish,MM8,29.3,-1
300020A,30.32,7.23,almost pippish,MM8,30.3,-1
300101A,29.7,7.03,pippish,MM8,29.8,-1
300110A,30.31,7.3,pippish,MM8,30.1,-1
300200A,31.08,7.53,pippish,MM8,31.3,-1
301001A,30.46,7.35,pippish,MM8,30.4,-1
301010A,30.75,7.51,pippish,MM8,30.7,-1
301100A,31.44,7.83,pippish,MM8,31.2,-1
302000A,32.53,8.1,pippish,MM8,32.5,-1
310001A,30.94,7.42,pippish,MM8,31.2,-1
310010A,31.76,7.79,pippish,MM8,31.5,-1
310100A,32.2,8.04,pippish,MM8,32.0,-1
311000A,32.97,8.34,pippish,MM8,32.6,-1
320000A,34.05,8.5,pippish,MM8,34.1,-1
400001A,33.04,7.64,pippish,MM8,33.0,-1
400010A,33.53,7.88,pippish,MM8,33.3,-1
400100A,33.9,8.09,pippish,MM8,33.8,-1
401000A,34.62,8.38,pippish,MM8,34.4,-1
410000A,35.25,8.65,pippish,MM8,35.2,-1
500000A,36.9,8.67,pippish,MM8,37.0,-1
0000069,22,5.07,rollish,NNM,21.0,-1
0000159,22,5.07,rollish,NNM,21.3,-1
0000249,22.13,5.04,rollish,NNM,21.7,-1
0000339,22.39,4.96,rollish,NNM,22.0,-1
0000429,22.56,5.18,rollish,NNM,22.3,-1
0000519,23.67,6.28,rollish,NNM,22.7,-1
0000609,26.61,7.14,scrunched,NNM,23.0,-1
0001059,22.6,5.38,scrunched,NNM,21.7,-1
0001149,22.36,5,rollish,NNM,22.0,-1
0001239,22.59,4.88,rollish,NNM,22.3,-1
0001329,22.77,5.1,rollish,NNM,22.7,-1
0001419,23.7,6.27,rollish,NNM,23.0,-1
0001509,26.63,7.13,scrunched,NNM,23.7,-1
0002049,24.45,6.35,scrunched,NNM,22.3,-1
0002139,22.89,5.09,rollish,NNM,22.7,-1
0002229,22.91,5.1,rollish,NNM,23.0,-1
0002319,24,6.14,rollish,NNM,23.7,-1
0002409,26.74,7.06,scrunched,NNM,24.3,-1
0003039,25.4,6.59,scrunched,NNM,23.0,-1
0003129,23.85,5.87,scrunched,NNM,23.7,-1
0003219,24.31,6.26,scrunched,NNM,24.3,-1
0003309,26.99,7,scrunched,NNM,25.0,-1
0004029,26.44,7.05,scrunched,NNM,24.3,-1
0004119,25.39,6.9,scrunched,NNM,25.0,-1
0004209,27.35,7.12,scrunched,NNM,25.7,-1
0005019,27.69,7.44,scrunched,NNM,25.7,-1
0005109,28.31,7.34,scrunched,NNM,26.3,-1
0006009,29.99,7.46,scrunched,NNM,27.0,-1
